C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
122 	HD 27801                           	HighPM*         	065.5985326016300 -22.8551908275800	065.5985370299084 -22.8551948172837	058.2599106882581 -43.6426260250732	     ~   	9.70     	8.96     	     ~   	     ~   	K0V            	   3	   0
123 	LP 834-54                          	HighPM*         	067.2055275259600 -23.5588445615700	067.2055319371405 -23.5588486783032	060.0494781051094 -44.6564921724212	     ~   	13.20    	11.50    	     ~   	     ~   	K3V            	  11	   0
124 	HD 284552                          	HighPM*         	068.4049190850100 +21.1508509739600	068.4049271425538 +21.1508467645222	069.9229256969535 -00.7958907321160	     ~   	11.920   	10.726   	10.261   	     ~   	K7V            	  64	   0
125 	HD 284618                          	HighPM*         	070.2165571190700 +20.0524245799300	070.2165650312953 +20.0524202339756	071.4479523576722 -02.1217753344654	     ~   	11.39    	10.60    	     ~   	     ~   	K0V            	   5	   0
126 	HD 284561                          	HighPM*         	068.7086516750900 +20.3945198764200	068.7086596581033 +20.3945156437970	070.0939209517261 -01.5854843983563	     ~   	12.36    	11.144   	10.757   	     ~   	K7.5V          	  23	   0
127 	HD 28634                           	SB*             	067.9046419271800 +17.7097348939800	067.9046497001689 +17.7097307229882	068.9454995575769 -04.1291235524083	     ~   	10.515   	9.517    	9.43     	     ~   	K2V            	  79	   0
128 	HG 7-249                           	HighPM*         	067.8711256626800 +17.7186610007000	067.8711334372073 +17.7186568322953	068.9151958184655 -04.1155057052016	     ~   	13.28    	11.87    	11.52    	     ~   	K7V            	  50	   0
129 	V* V996 Tau                        	BYDraV*         	068.2088320757700 +16.0058143703000	068.2088396988139 +16.0058101758933	068.9792262612405 -05.8574054389414	     ~   	9.85     	8.900    	9.02     	     ~   	K0V            	 108	   0
130 	RAFGL 5123                         	YSO             	067.89198900 +18.13469500          	067.89199681 +18.13469083          	068.99746896 -03.70716641          	     ~   	     ~   	     ~   	     ~   	     ~   	K3V/M3III      	 836	   0
131 	V* V827 Tau                        	TTauri*         	068.0607086412200 +18.3374365558800	068.0607164640052 +18.3374323728603	069.1865936986187 -03.5306524862261	     ~   	14.00    	12.63    	12.35    	     ~   	K7Ve           	 163	   0
132 	Cl* Melotte 25 VA 686              	HighPM*         	068.2258517430200 +17.4869976829600	068.2258594897027 +17.4869934872467	069.2158179945728 -04.3949951266401	     ~   	13.43    	12.28    	11.98    	     ~   	K5V            	   5	   0
133 	HD 29608                           	SB*             	070.1060945980100 +16.5136845265300	070.1061022214807 +16.5136801887766	070.8637457656941 -05.6137718756006	     ~   	10.558   	9.475    	     ~   	     ~   	K3Ve           	  75	   0
134 	V* V1147 Tau                       	HighPM*         	068.1068929982000 +13.1132330914100	068.1069003858443 +13.1132289048369	068.4457068616693 -08.7028838111939	     ~   	12.189   	11.000   	10.64    	9.443    	K5V            	  77	   0
135 	HD 285876                          	HighPM*         	067.9686337053300 +15.4994812353400	067.9686412912692 +15.4994770594127	068.6733264214088 -06.3235544223845	     ~   	12.300   	11.000   	10.622   	     ~   	K0V            	  90	   0
136 	MCC 231                            	**              	068.12683673 +04.13953129          	068.12684341 +04.13952710          	067.05954468 -17.57473769          	     ~   	     ~   	     ~   	     ~   	     ~   	K5V            	  17	   0
137 	MCC 446                            	HighPM*         	067.5697149645200 +00.9798869771100	067.5697214016702 +00.9798828320350	065.9471684470877 -20.6059703566299	     ~   	11.96    	10.489   	10.092   	8.816    	K7V            	  24	   0
138 	BD-10 978                          	HighPM*         	069.9514280678700 -10.1593134646800	069.9514336638859 -10.1593177909235	066.5578208607734 -31.9814655777668	     ~   	10.72    	9.92     	     ~   	     ~   	K0V            	   5	   0
139 	BD-15 803                          	HighPM*         	067.8320603793975 -15.6388233071786	067.8320655013221 -15.6388274725660	062.9301753195399 -37.0179322555192	     ~   	12.01    	10.702   	10.437   	     ~   	K5V            	   6	   0
140 	BD-15 820                          	HighPM*         	069.2262872095700 -14.8867109698200	069.2262924212211 -14.8867152416819	064.7520220931474 -36.5228322416506	     ~   	11.12    	9.97     	     ~   	     ~   	K4.5V          	  14	   0
141 	BD-16 891                          	HighPM*         	068.2422914323200 -16.5431115333700	068.2422964874557 -16.5431157303449	063.2044456024948 -37.9800911637284	     ~   	12.02    	10.904   	10.468   	9.25     	K7Vk           	  15	   0
142 	LP 834-57                          	HighPM*         	068.2994689360300 -21.2024872636800	068.2994735931611 -21.2024914650405	062.0934039415747 -42.5621538392466	     ~   	12.27    	11.268   	11.044   	     ~   	K4V            	  11	   0
143 	HD 284653                          	HighPM*         	071.8591172730200 +23.0509224070100	071.8591253886648 +23.0509179410317	073.3506479406783 +00.6540445131786	     ~   	11.799   	10.674   	10.471   	     ~   	K4V            	  48	   0
144 	HD 29697                           	BYDraV*         	070.3285633812646 +20.9015130353919	070.3285713620017 +20.9015086811386	071.6660854084178 -01.2944772787837	10.064   	9.12     	7.985    	7.313    	6.666    	K4V            	 158	   0
145 	HD 284709                          	**              	070.775096800 +20.242990300        	070.775104713 +20.242985913        	071.993340616 -02.002584465        	     ~   	10.55    	9.74     	9.51     	     ~   	K1V            	   5	   0
146 	HD 284842                          	HighPM*         	071.3659059797300 +19.3488739646200	071.3659138021712 +19.3488695343001	072.4295017983415 -02.9610097655589	12.512   	10.20    	     ~   	8.7      	     ~   	K0V            	  33	   0
147 	HD 284829                          	HighPM*         	072.2662263638700 +19.4629589900000	072.2662341708435 +19.4629544948375	073.2874099564834 -02.9533603141273	     ~   	11.62    	10.705   	10.476   	     ~   	K4V            	   4	   0
148 	HD 30505                           	**              	072.2646734227600 +18.6412471633300	072.2646811640980 +18.6412426682784	073.1860418415407 -03.7688187621903	     ~   	9.789    	8.947    	8.492    	8.089    	K1V            	  95	   0
149 	LP 416-94                          	HighPM*         	072.9549572804000 +17.2737256194500	072.9549648968861 +17.2737210754323	073.6764327765617 -05.2048854329438	     ~   	12.611   	11.336   	10.948   	     ~   	K5V            	  20	   0
150 	Cl Melotte 25 331                  	SB*             	072.0037206374700 +17.0560062523800	072.0037282601254 +17.0560017760097	072.7440558791784 -05.3117274327292	     ~   	12.450   	11.085   	10.571   	     ~   	K6V            	  32	   0
151 	V* DR Tau                          	OrionV*         	071.7758964838600 +16.9785594090500	071.7759041058612 +16.9785549490653	072.5172923541203 -05.3615210329143	12.03    	11.86    	10.50    	12.19    	     ~   	K5Ve           	 502	   0
152 	HD 286996                          	HighPM*         	070.8822578519100 +11.1667051943700	070.8822650418645 +11.1667007993360	070.8926723983761 -11.0134790601484	     ~   	11.4     	10.307   	9.984    	     ~   	K4V            	  29	   0
153 	BD+01 806                          	HighPM*         	071.0012749082400 +01.7274335695100	071.0012813957042 +01.7274291657637	069.6879488625308 -20.3821718116475	     ~   	     ~   	     ~   	10.941   	     ~   	K5V            	   9	   0
154 	2E 0443.8-1007                     	Star            	071.5521 -10.0264                  	071.5521 -10.0264                  	068.4187 -32.0939                  	     ~   	     ~   	11.82    	     ~   	     ~   	K7V            	   7	   0
155 	HD 30235                           	HighPM*         	071.3481172429600 -11.1596027602600	071.3481227828452 -11.1596071892875	067.9811028582438 -33.1841260443852	     ~   	10.83    	9.96     	     ~   	     ~   	K1V            	   4	   0
156 	HD 30523                           	HighPM*         	072.0047563639200 -10.9336461377800	072.0047619307063 -10.9336506142246	068.7822605262458 -33.0569318315972	     ~   	10.66    	9.43     	     ~   	     ~   	K5Vk           	  37	   0
157 	HD 30212                           	Star            	071.2785695731900 -13.3544372945500	071.2785749447815 -13.3544417185212	067.4902028090360 -35.3422186298988	     ~   	10.893   	10.058   	     ~   	     ~   	K0V            	   8	   0
158 	BD-16 931                          	HighPM*         	070.9014031645200 -15.8050574521600	070.9014083375146 -15.8050618485967	066.5524369334491 -37.7025239945399	     ~   	10.95    	9.96     	     ~   	     ~   	K2V            	  24	   0
159 	BD-15 869                          	HighPM*         	072.3864598040442 -14.7895737019989	072.3864650874517 -14.7895782057371	068.5321946303061 -36.9253507960756	     ~   	12.33    	10.881   	10.514   	9.347    	K7V            	  29	   0
160 	CD-22 1769                         	HighPM*         	070.6563523143800 -21.7825470933000	070.6563569906747 -21.7825514717449	064.8882609763860 -43.5500273335013	     ~   	13.25    	11.569   	11.166   	     ~   	K7V            	   9	   0
161 	HD 30973                           	HighPM*         	073.2697114885700 +22.2351673565600	073.2697194898381 +22.2351627904334	074.5460129670641 -00.3110501589753	     ~   	     ~   	     ~   	8.2      	     ~   	K3V            	  30	   0
162 	HD 286167                          	HighPM*         	073.7261511304000 +16.1788378070200	073.7261586449198 +16.1788332090772	074.2877539344771 -06.3772081190010	     ~   	     ~   	     ~   	10.637   	     ~   	K4V            	   6	   0
163 	HD 286165                          	HighPM*         	073.8543874978000 +16.2217468945400	073.8543950125515 +16.2217422877109	074.4157096703082 -06.3483265517398	     ~   	11.78    	10.632   	10.356   	     ~   	K5V            	   4	   0
164 	1RXS J050315.2+084101              	Star            	075.8133 +08.6836                  	075.8133 +08.6836                  	075.5379 -14.0463                  	     ~   	     ~   	     ~   	     ~   	     ~   	K5V            	   2	   0
165 	StKM 1-536                         	HighPM*         	075.1602390920300 +07.1871973738300	075.1602459397980 +07.1871926778318	074.7130205083296 -15.4680468659698	     ~   	12.80    	11.51    	10.88    	     ~   	K7.5V          	  10	   0
166 	2E 0452.2+0225                     	Star            	073.7063 +02.5083                  	073.7063 +02.5083                  	072.6507 -19.9550                  	     ~   	     ~   	10.59    	     ~   	     ~   	K0V            	   6	   0
167 	HD 31985                           	HighPM*         	074.9094110173483 -10.9839635030200	074.9094166254408 -10.9839681820784	072.1537386447332 -33.4930637442318	     ~   	11.01    	9.783    	9.798    	     ~   	K5Vk           	  22	   0
168 	BD-20 958                          	**              	073.48148292 -20.53892152          	073.48148778 -20.53892610          	068.73527066 -42.76643217          	     ~   	11.37    	10.105   	9.921    	     ~   	K7V            	  23	   0
169 	HD 32450                           	**              	075.6186289760158 -21.2566785552456	075.6186338505030 -21.2566832819684	071.3047270772068 -43.7670545775357	10.97    	9.77     	8.317    	7.405    	6.492    	K7V            	  99	   0
170 	CD-23 2363                         	**              	075.8411825021300 -23.2503083581586	075.8411872292591 -23.2503130996897	071.2041521033194 -45.7700232422283	     ~   	10.57    	9.321    	9.496    	     ~   	K6V            	  52	   0
171 	HD 241814                          	HighPM*         	078.5708365650796 +19.8829339305986	078.5708442184009 +19.8829290133288	079.2442594903198 -03.1306425375788	     ~   	10.618   	     ~   	9.262    	     ~   	K5V            	  25	   0
172 	HD 241599                          	HighPM*         	078.1998233862900 +16.3070652406600	078.1998308019958 +16.3070603466298	078.6028711639814 -06.6665877653627	     ~   	11.82    	     ~   	10.192   	     ~   	K7V            	  26	   0
173 	HD 290054                          	HighPM*         	078.7005428225692 +00.6619662541931	078.7005492248342 +00.6619613288473	077.7744909308427 -22.2990623475758	     ~   	     ~   	     ~   	9.575    	     ~   	K5.5V          	  26	   0
174 	HD 290053                          	HighPM*         	078.7076614929000 +00.7087997994200	078.7076678980693 +00.7087948736317	077.7864172263796 -22.2529944509776	     ~   	     ~   	     ~   	9.480    	     ~   	K5V            	  19	   0
175 	G 84-35                            	HighPM*         	076.2766740635008 -02.4119876712861	076.2766802659387 -02.4119924415868	074.8227229035235 -25.1311281344658	     ~   	12.05    	10.926   	10.680   	     ~   	K4V            	   9	   0
176 	HD 32646                           	HighPM*         	076.0933286509700 -10.1496298040400	076.0933343349815 -10.1496345622619	073.6524820926871 -32.8030922303898	     ~   	10.47    	9.67     	     ~   	     ~   	K0V            	  23	   0
177 	HD 32965                           	HighPM*         	076.6251579155300 -11.0430499020600	076.6251635471504 -11.0430546951838	074.1539176318997 -33.7495264237399	     ~   	10.79    	9.55     	     ~   	     ~   	K3V            	   6	   0
178 	HD 32915                           	**              	076.48014079 -13.91374536          	076.48014622 -13.91375014          	073.58420714 -36.58574753          	     ~   	9.46     	9.09     	8.44     	     ~   	K0V            	  37	   0
179 	2E 0509.4-1607                     	Star            	077.9263 -16.0639                  	077.9263 -16.0639                  	075.0368 -38.8781                  	     ~   	     ~   	13.68    	     ~   	     ~   	K7V            	   4	   0
180 	* 111 Tau B                        	HighPM*         	080.9099145664100 +17.3241169067700	080.9099219785125 +17.3241118477708	081.2799309209733 -05.8404421513349	10.093   	9.048    	7.919    	7.266    	6.703    	K4V            	 121	   0
181 	StKM 1-563                         	Star            	081.2597590832700 +11.5548736184400	081.2597661269159 +11.5548685389622	081.2577262367553 -11.6195728426955	     ~   	12.75    	10.68    	     ~   	     ~   	K5V            	   2	   0
182 	HD 34673B                          	HighPM*         	079.8026101780346 -03.0733986866758	079.8026163530216 -03.0734036796179	078.6454897983588 -26.1116474040679	     ~   	     ~   	     ~   	     ~   	     ~   	K7V            	  18	   0
183 	1RXS J052345.0-075343              	Star            	080.9375 -07.8953                  	080.9375 -07.8953                  	079.5122 -31.0052                  	     ~   	     ~   	     ~   	     ~   	     ~   	K5V            	   4	   0
184 	HD 34355                           	HighPM*         	079.0593774338800 -15.3395586033100	079.0593828264091 -15.3395635508665	076.5189422814943 -38.2682369426917	     ~   	10.10    	9.25     	     ~   	     ~   	K1V            	   4	   0
185 	HD 34688                           	HighPM*         	079.6783071706400 -14.0184565544700	079.6783126635707 -14.0184615398797	077.4264293513153 -37.0083121941770	     ~   	9.89     	9.06     	     ~   	     ~   	K0V            	  42	   0
